elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input
0.0,Linux,0.0,0.0,119.17578125,1998.0234375,891.3203125,0.0,0.0
1.002,Linux,82.9,22.0,249.23046875,2144.43359375,891.25390625,0.02734375,7.40625
2.003,Linux,72.9,10.5,735.0,2654.546875,891.25390625,0.0,366.6015625
3.003,Linux,88.9,12.5,839.359375,2755.41796875,891.25390625,0.0,210.86328125
4.005,Linux,99.9,28.3,879.8125,2720.68359375,890.109375,0.0,50.95703125
5.006,Linux,89.9,18.3,915.96875,2744.0703125,890.109375,0.015625,175.4140625
6.007,Linux,104.9,16.7,1031.4609375,2877.51171875,890.109375,0.00390625,0.0
7.008,Linux,106.8,18.7,1050.94140625,2886.84375,890.08203125,0.015625,2.91796875
8.01,Linux,34.9,10.1,1054.0625,2880.73046875,890.078125,0.00390625,0.0
9.011,Linux,36.9,11.4,1057.0703125,2877.99609375,890.078125,0.00390625,0.0
10.013,Linux,35.9,11.0,1057.0703125,2874.7734375,890.078125,0.00390625,0.0
11.014,Linux,48.9,11.8,1070.08203125,2890.89453125,890.078125,0.0078125,0.0
12.016,Linux,42.9,12.3,1070.08203125,2888.98046875,890.078125,0.00390625,0.0
13.018,Linux,41.9,9.9,1070.08203125,2885.125,890.078125,0.00390625,0.125
14.019,Linux,39.9,10.3,1070.08203125,2881.11328125,890.078125,0.00390625,0.0
15.021,Linux,48.9,12.4,1070.08203125,2870.66015625,890.07421875,0.0078125,0.02734375
16.023,Linux,34.9,9.5,1070.08203125,2865.6171875,890.07421875,0.00390625,0.015625
17.024,Linux,87.9,13.7,1070.09765625,2859.26953125,889.74609375,0.00390625,0.03515625
18.025,Linux,40.0,10.3,1070.09765625,2858.328125,889.74609375,0.00390625,0.0
19.027,Linux,40.9,11.2,1070.09765625,2852.2109375,889.74609375,0.00390625,0.0
20.028,Linux,50.9,11.9,1070.09765625,2849.86328125,889.73828125,0.00390625,0.0
21.03,Linux,42.9,11.2,1070.09765625,2847.46484375,889.73828125,0.00390625,0.0
22.032,Linux,44.9,11.1,1070.09765625,2845.7109375,889.73828125,0.0078125,0.0
23.034,Linux,44.9,10.8,1070.09765625,2844.6328125,889.66796875,0.0078125,0.0703125
24.035,Linux,42.9,10.6,1070.09765625,2843.84765625,889.66796875,0.00390625,0.0
25.037,Linux,44.9,11.1,1070.09765625,2841.49609375,889.6640625,0.00390625,0.0
26.038,Linux,43.0,11.1,1070.1015625,2841.234375,889.6640625,0.00390625,0.0
27.039,Linux,46.0,11.7,1070.1015625,2841.08984375,889.6640625,0.00390625,0.0
28.039,Linux,45.0,11.8,1070.1015625,2841.203125,889.6640625,0.00390625,0.0
29.041,Linux,43.0,11.4,1070.10546875,2841.19921875,889.6640625,0.00390625,0.0
30.042,Linux,46.9,12.1,1070.10546875,2841.1953125,889.6640625,0.00390625,0.0
31.044,Linux,45.9,10.8,1070.10546875,2841.12109375,889.6640625,0.00390625,0.0
32.046,Linux,44.9,10.6,1070.10546875,2841.11328125,889.6640625,0.00390625,0.0
33.048,Linux,46.9,11.4,1070.10546875,2841.109375,889.6640625,0.00390625,0.0
34.049,Linux,46.9,11.7,1070.109375,2841.09765625,889.6640625,0.00390625,0.0
35.051,Linux,48.9,12.0,1070.11328125,2841.09375,889.6640625,0.0078125,0.0
36.052,Linux,48.9,11.7,1070.11328125,2841.3046875,889.6640625,0.00390625,0.0
37.053,Linux,49.9,39.0,1071.37109375,3051.0234375,889.65625,0.07421875,2.6640625
38.055,Linux,39.9,39.9,1071.37109375,3167.64453125,889.65625,0.00390625,0.0
39.057,Linux,43.9,39.7,1071.37109375,3276.43359375,889.65625,0.00390625,0.0
40.058,Linux,46.9,37.8,1071.37109375,3434.0859375,889.65625,0.00390625,0.0
41.06,Linux,46.9,40.8,1071.37109375,3451.84375,889.65625,0.0078125,0.0
42.061,Linux,43.9,38.0,1071.37109375,3460.19921875,889.65625,0.00390625,0.0
43.062,Linux,40.9,29.9,1071.37109375,3459.84765625,889.65625,0.00390625,0.0
44.064,Linux,45.9,37.0,1071.37109375,3470.63671875,889.65625,0.00390625,0.0
45.065,Linux,55.9,38.5,1071.37109375,3504.19140625,889.65625,0.00390625,0.0
46.067,Linux,49.9,38.0,1071.37109375,3573.6796875,889.65625,0.00390625,0.09375
47.068,Linux,49.9,45.3,1071.37109375,3638.31640625,889.65625,0.00390625,0.09375
48.069,Linux,46.9,49.2,1071.37109375,3728.76171875,889.65625,0.00390625,0.03125
49.071,Linux,51.9,39.4,1071.37109375,3767.015625,895.890625,0.00390625,0.15625
50.073,Linux,47.9,39.2,1071.37109375,3841.5,900.86328125,0.00390625,0.0
51.076,Linux,52.9,40.0,1071.37109375,3927.45703125,900.86328125,0.00390625,0.0
52.078,Linux,55.9,40.5,1071.37109375,4000.12109375,900.8515625,0.00390625,0.015625
53.079,Linux,50.9,38.6,1071.37109375,4059.7578125,900.84375,0.00390625,0.0
54.08,Linux,48.9,38.8,1071.37109375,4112.828125,900.84375,0.00390625,0.0
55.081,Linux,56.9,40.1,1071.37109375,4168.3125,900.84375,0.0078125,0.015625
56.083,Linux,51.9,38.0,1071.37109375,4177.390625,915.6015625,0.00390625,0.171875
57.085,Linux,45.9,37.3,1071.37109375,4360.984375,915.6015625,0.00390625,0.0
58.086,Linux,46.9,38.0,1071.37109375,4440.42578125,915.6015625,0.00390625,0.03125
59.088,Linux,41.9,36.4,1071.15234375,4495.28125,915.6015625,0.00390625,0.0625
60.089,Linux,40.9,35.9,1069.62109375,4570.921875,915.6015625,0.00390625,0.09375
61.091,Linux,39.9,36.1,1069.0859375,4665.45703125,915.6015625,0.00390625,0.05859375
62.092,Linux,38.0,35.5,1066.8125,4748.578125,915.6015625,0.00390625,0.0
63.094,Linux,39.9,35.7,1060.94921875,4822.99609375,915.6015625,0.00390625,0.03125
64.095,Linux,47.9,39.1,1048.8984375,4846.12890625,915.6015625,0.00390625,0.0234375
65.097,Linux,45.0,35.8,1012.84375,4934.7578125,915.6015625,0.00390625,0.01171875
66.098,Linux,45.9,25.4,1007.9765625,4954.73046875,957.58984375,0.0078125,0.21875
67.099,Linux,42.9,26.0,1007.9765625,4995.62109375,1005.28125,0.00390625,0.0625
68.1,Linux,46.9,24.7,1004.2578125,4989.8671875,1008.85546875,0.00390625,0.0625
69.102,Linux,50.9,17.9,993.8046875,4977.67578125,1023.6796875,0.01953125,3.6640625
70.103,Linux,93.9,19.6,984.4375,4966.21875,1031.96484375,0.265625,7.859375
71.105,Linux,65.9,12.8,963.6796875,4944.83203125,1054.921875,0.00390625,46.09765625
72.106,Linux,89.9,17.0,937.72265625,4918.50390625,1081.2890625,0.0078125,25.98828125
73.107,Linux,86.9,15.0,928.94140625,4906.46484375,1090.0859375,0.0,12.796875
74.108,Linux,87.9,16.6,828.30078125,4744.10546875,1197.83984375,0.0,100.72265625
75.109,Linux,97.9,17.8,771.9296875,4691.953125,1270.375,0.0,53.1484375
76.111,Linux,94.9,17.8,688.65625,4560.30859375,1390.63671875,0.0,83.62109375
77.112,Linux,99.9,19.2,641.6875,4532.70703125,1465.10546875,0.0,47.3984375
78.113,Linux,100.9,17.1,652.9609375,4491.85546875,1559.09765625,0.0,46.16015625
79.114,Linux,99.9,17.5,673.84375,4457.35546875,1636.43359375,0.0,46.796875
80.115,Linux,97.9,16.3,702.2890625,4405.953125,1720.78125,0.0,52.71484375
81.116,Linux,100.9,17.3,752.75,4359.21484375,1819.06640625,0.0,47.30078125
82.117,Linux,99.9,16.8,767.91015625,4300.03515625,1902.90625,0.0,49.32421875
83.119,Linux,100.9,18.1,718.86328125,4242.53515625,1976.77734375,0.0,48.27734375
84.12,Linux,100.8,17.1,672.52734375,4203.703125,2054.04296875,0.0,46.390625
85.121,Linux,99.9,17.3,623.0390625,4151.5078125,2126.4765625,0.0,42.76171875
86.123,Linux,99.8,17.3,649.08984375,4080.18359375,2180.984375,0.0,45.4765625
87.124,Linux,100.8,17.7,668.26171875,4043.07421875,2247.54296875,0.0,44.23046875
88.126,Linux,101.9,18.4,698.6875,4006.515625,2324.625,0.0,45.15234375
89.127,Linux,98.9,17.5,783.12109375,3937.22265625,2461.69140625,0.0,43.8046875
90.128,Linux,106.9,18.7,799.265625,3929.4921875,2486.62109375,0.015625,8.640625
91.129,Linux,107.9,17.4,799.265625,3927.33203125,2486.62109375,0.0,0.0
92.13,Linux,107.9,17.0,799.265625,3924.70703125,2486.609375,0.0,0.0
93.13,Linux,107.9,17.3,799.26953125,3923.390625,2486.609375,0.0,0.0
94.131,Linux,105.9,17.8,810.3671875,3911.0078125,2511.921875,0.0,0.19140625
95.132,Linux,108.9,18.4,810.3671875,3910.23828125,2511.9140625,0.0,0.0
96.133,Linux,106.9,17.4,810.3671875,3909.47265625,2511.9140625,0.0,0.0
97.134,Linux,108.9,17.2,810.3671875,3909.0,2511.89453125,0.0,0.0
98.135,Linux,106.9,20.4,810.48828125,3900.875,2554.85546875,0.0,0.140625
99.136,Linux,108.9,17.4,810.48828125,3900.7890625,2554.72265625,0.0,0.0
100.137,Linux,106.9,18.6,810.48828125,3900.0,2554.72265625,0.0,0.0
101.138,Linux,108.8,17.5,810.48828125,3899.671875,2554.71875,0.0,0.0
102.14,Linux,109.8,17.5,811.59375,3872.328125,2553.61328125,0.00390625,1.19140625
103.141,Linux,106.9,17.3,811.59375,3872.21484375,2553.609375,0.0,0.0
104.142,Linux,108.9,17.2,811.59375,3872.21484375,2553.60546875,0.0,0.0
105.143,Linux,108.9,17.6,811.59375,3872.21484375,2553.5859375,0.0,0.0
106.144,Linux,107.9,17.2,811.59375,3870.5390625,2553.5859375,0.0,0.0
107.145,Linux,107.9,17.0,811.59375,3870.375,2553.578125,0.0,0.0
108.146,Linux,108.9,17.5,811.59375,3870.03125,2553.5390625,0.0,0.0
109.148,Linux,141.7,30.5,847.3671875,3919.20703125,2557.8203125,0.0078125,28.05859375
110.15,Linux,83.8,23.8,847.4765625,3921.921875,2560.0234375,0.00390625,2.91796875
111.152,Linux,88.9,21.8,847.890625,3920.99609375,2560.8671875,0.0078125,0.86328125
112.154,Linux,80.9,21.4,848.1171875,3921.29296875,2561.4609375,0.00390625,0.390625
113.155,Linux,77.9,21.0,848.32421875,3921.05859375,2561.890625,0.00390625,0.171875
114.157,Linux,72.9,19.4,848.328125,3925.04296875,2561.87890625,0.00390625,0.11328125
115.158,Linux,73.9,21.0,848.328125,3921.53515625,2561.86328125,0.00390625,0.0
116.16,Linux,86.8,22.6,848.52734375,3925.39453125,2562.359375,0.00390625,0.296875
