elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input
0.0,Linux,0.0,0.0,109.44921875,1818.546875,1447.6953125,0.0,0.0
1.001,Linux,80.9,19.9,231.9921875,1972.3828125,1447.16796875,0.02734375,4.265625
2.002,Linux,73.9,12.0,665.453125,2418.60546875,1447.16796875,0.0,368.60546875
3.003,Linux,88.9,12.8,831.7265625,2553.3828125,1447.1640625,0.0,218.30078125
4.004,Linux,97.9,13.7,872.4609375,2565.47265625,1447.1640625,0.0,63.14453125
5.005,Linux,85.9,17.6,907.26953125,2561.4375,1447.1640625,0.015625,165.8828125
6.006,Linux,105.9,16.4,1024.33203125,2670.4765625,1447.1640625,0.00390625,0.0
7.008,Linux,95.9,16.2,1039.8203125,2670.671875,1447.1640625,0.01171875,2.921875
8.01,Linux,38.9,9.9,1045.9609375,2670.76171875,1447.16015625,0.0078125,0.0
9.012,Linux,33.9,9.2,1049.0390625,2670.5546875,1447.16015625,0.00390625,0.0
10.013,Linux,39.9,9.9,1052.03515625,2672.27734375,1447.16015625,0.00390625,0.0
11.015,Linux,34.0,9.8,1052.03515625,2672.515625,1447.16015625,0.01171875,0.0
12.016,Linux,52.9,12.7,1065.01953125,2691.9765625,1447.1171875,0.0078125,0.0
13.018,Linux,44.9,11.6,1065.01953125,2691.98046875,1447.1171875,0.00390625,0.0
14.019,Linux,41.9,11.2,1065.01953125,2691.97265625,1447.1171875,0.00390625,0.0
15.021,Linux,40.9,11.1,1065.01953125,2691.97265625,1447.1171875,0.0078125,0.0
16.023,Linux,47.9,12.8,1065.04296875,2691.875,1447.109375,0.0078125,0.02734375
17.024,Linux,77.9,13.0,1065.04296875,2691.03515625,1447.109375,0.0078125,0.0
18.025,Linux,55.9,12.5,1065.05859375,2693.875,1447.109375,0.0078125,0.015625
19.027,Linux,47.9,12.1,1065.06640625,2692.8125,1447.109375,0.0078125,0.0
20.029,Linux,49.9,12.0,1065.06640625,2691.625,1447.109375,0.00390625,0.0
21.03,Linux,54.9,39.9,1066.49609375,2809.49609375,1447.734375,0.06640625,2.6640625
22.031,Linux,49.0,50.6,1000.1484375,2874.4921875,1599.62890625,0.00390625,0.28515625
23.032,Linux,46.0,39.7,969.66796875,2876.53125,1634.27734375,0.0078125,5.66796875
24.033,Linux,42.9,37.4,821.72265625,2875.3359375,1785.59765625,0.00390625,3.3671875
25.035,Linux,46.9,39.2,713.2890625,2876.83984375,1897.5,0.00390625,2.1328125
26.037,Linux,47.9,41.4,695.4609375,2876.52734375,1918.9921875,0.00390625,3.91015625
27.038,Linux,44.9,37.3,684.0078125,2876.88671875,1934.125,0.00390625,3.80078125
28.04,Linux,41.9,36.6,683.8125,2873.734375,1939.0,0.00390625,3.8671875
29.041,Linux,51.9,37.3,632.9375,2840.40234375,1997.70703125,0.00390625,1.078125
30.043,Linux,45.9,37.7,594.17578125,2845.609375,2036.77734375,0.00390625,0.015625
31.044,Linux,52.9,38.0,507.453125,2829.54296875,2135.328125,0.00390625,0.05078125
32.046,Linux,50.9,38.0,505.12109375,2843.671875,2165.44921875,0.00390625,0.1875
33.049,Linux,51.8,38.6,506.6953125,2941.16796875,2163.59765625,0.00390625,0.015625
34.051,Linux,48.9,38.8,509.05859375,3022.984375,2160.8828125,0.00390625,0.2265625
35.053,Linux,50.9,40.1,509.51953125,3101.19140625,2160.0390625,0.00390625,0.0625
36.056,Linux,51.9,39.8,509.52734375,3186.19921875,2159.56640625,0.00390625,0.0078125
37.057,Linux,52.9,41.0,509.546875,3279.02734375,2159.25,0.0078125,0.0234375
38.059,Linux,51.9,39.4,509.55078125,3304.89453125,2158.8515625,0.00390625,0.0
39.06,Linux,51.9,39.4,509.578125,3336.73828125,2158.80078125,0.00390625,0.0234375
40.062,Linux,53.9,38.9,509.578125,3393.6640625,2158.78515625,0.00390625,0.0
41.065,Linux,50.8,38.6,509.58203125,3413.8046875,2158.765625,0.00390625,0.015625
42.067,Linux,48.9,37.8,509.70703125,3557.984375,2157.9453125,0.00390625,0.1328125
43.068,Linux,49.9,37.7,509.7109375,3655.83203125,2157.7734375,0.00390625,0.0
44.07,Linux,40.9,35.9,509.71484375,3699.54296875,2157.46875,0.00390625,0.0
45.071,Linux,41.9,35.9,509.734375,3801.85546875,2157.35546875,0.00390625,0.05859375
46.073,Linux,43.9,37.1,509.73828125,3896.6171875,2157.296875,0.00390625,0.0
47.074,Linux,45.9,36.9,509.75390625,4006.69140625,2157.2421875,0.0078125,0.0234375
48.076,Linux,39.9,36.0,509.7578125,4092.94140625,2157.09375,0.00390625,0.0
