os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Ryzen 5 3450U with Radeon Vega Mobile Gfx,Radeon Vega Series / Radeon Vega Mobile Series,5948644,6.17.0-35-generic,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
0.801125,1248.25,17.5748,8,53,53,200,0,0.731915,0,2.78842,5017426922
2.02896,492.863,21.0421,3,54,54,200,0,0.7495,0,2.97105,5510286501
276.59,3.61546,21.0421,3,54,54,200,0,0.7495,0,2.97105,5513903337
55.6363,17.9739,21.0421,3,54,54,200,0,0.7495,0,2.97105,5531904445
53.835,18.5753,17.3594,31,54,54,200,0,0.78075,0,3.00186,5550454235
26.5964,37.5991,17.3594,31,54,54,200,0,0.78075,0,3.00186,5588054857
185.104,5.40237,17.3594,31,54,54,200,0,0.78075,0,3.00186,5593460641
60.3204,16.5781,17.3594,31,54,54,200,0,0.78075,0,3.00186,5610037902
55.811,17.9176,17.3594,31,54,54,200,0,0.78075,0,3.00186,5627955880
69.0711,14.4778,17.3594,31,54,54,200,0,0.78075,0,3.00186,5642434522
59.9126,16.691,17.3594,31,54,54,200,0,0.78075,0,3.00186,5659126325
59.0962,16.9216,17.3594,31,54,54,200,0,0.78075,0,3.00186,5676048458
61.129,16.3589,17.3594,31,54,54,200,0,0.78075,0,3.00186,5692407968
54.089,18.4881,17.3594,31,54,54,200,0,0.78075,0,3.00186,5710897888
64.8048,15.4309,17.3594,31,54,54,200,0,0.78075,0,3.00186,5726329025
58.3896,17.1263,17.3594,31,54,54,200,0,0.78075,0,3.00186,5743456169
61.5268,16.2531,17.3594,31,54,54,200,0,0.78075,0,3.00186,5759709609
58.8455,16.9937,17.3594,31,54,54,200,0,0.78075,0,3.00186,5776703843
61.3059,16.3116,17.3594,31,54,54,200,0,0.78075,0,3.00186,5793015943
57.8659,17.2813,17.3594,31,54,54,200,0,0.78075,0,3.00186,5810298188
60.8923,16.4224,17.3594,31,54,54,200,0,0.78075,0,3.00186,5826721079
57.2126,17.4787,17.3594,31,54,54,200,0,0.78075,0,3.00186,5844200154
56.8354,17.5947,17.3594,31,54,54,200,0,0.78075,0,3.00186,5861795560
64.7119,15.4531,17.3594,31,54,54,200,0,0.78075,0,3.00186,5877249157
60.0311,16.658,17.3594,31,54,54,200,0,0.78075,0,3.00186,5893908339
59.0548,16.9334,17.3594,31,54,54,200,0,0.78075,0,3.00186,5910842012
62.9251,15.8919,17.3594,31,54,54,200,0,0.78075,0,3.00186,5926733961
56.6267,17.6595,17.3594,31,54,54,200,0,0.78075,0,3.00186,5944394557
61.6624,16.2173,17.3594,31,54,54,200,0,0.78075,0,3.00186,5960612517
59.2884,16.8667,17.3594,31,54,54,200,0,0.78075,0,3.00186,5977480090
59.3576,16.8471,17.3594,31,54,54,200,0,0.78075,0,3.00186,5994327393
60.9363,16.4106,17.3594,31,54,54,200,0,0.78075,0,3.00186,6010738664
59.901,16.6942,17.3594,31,54,54,200,0,0.78075,0,3.00186,6027433726
61.1139,16.3629,17.3594,31,54,54,200,0,0.78075,0,3.00186,6043800857
58.9183,16.9727,21.197,48,53,53,200,0,0.81324,0,3.00307,6060769980
58.7235,17.029,21.197,48,53,53,200,0,0.81324,0,3.00307,6077800084
60.2913,16.5862,21.197,48,53,53,200,0,0.81324,0,3.00307,6094386855
57.3323,17.4422,21.197,48,53,53,200,0,0.81324,0,3.00307,6111829711
38.9859,25.6503,21.197,48,53,53,200,0,0.81324,0,3.00307,6137480602
127.463,7.84539,21.197,48,53,53,200,0,0.81324,0,3.00307,6145327506
59.0395,16.9378,21.197,48,53,53,200,0,0.81324,0,3.00307,6162266869
65.605,15.2427,21.197,48,53,53,200,0,0.81324,0,3.00307,6177509295
56.6829,17.642,21.197,48,53,53,200,0,0.81324,0,3.00307,6195151961
60.6593,16.4855,21.197,48,53,53,200,0,0.81324,0,3.00307,6211637872
59.9961,16.6678,21.197,48,53,53,200,0,0.81324,0,3.00307,6228306114
58.7618,17.0179,21.197,48,53,53,200,0,0.81324,0,3.00307,6245325178
58.8552,16.9909,21.197,48,53,53,200,0,0.81324,0,3.00307,6262317401
61.2025,16.3392,21.197,48,53,53,200,0,0.81324,0,3.00307,6278656512
60.1042,16.6378,21.197,48,53,53,200,0,0.81324,0,3.00307,6295295324
59.8614,16.7053,21.197,48,53,53,200,0,0.81324,0,3.00307,6312002966
58.9623,16.96,21.197,48,53,53,200,0,0.81324,0,3.00307,6328962949
58.9291,16.9695,21.197,48,53,53,200,0,0.81324,0,3.00307,6345933172
58.1169,17.2067,21.197,48,53,53,200,0,0.81324,0,3.00307,6363140577
61.5949,16.2351,21.197,48,53,53,200,0,0.81324,0,3.00307,6379376357
59.7539,16.7353,21.197,48,53,53,200,0,0.81324,0,3.00307,6396112919
59.0673,16.9298,21.197,48,53,53,200,0,0.81324,0,3.00307,6413042962
60.2665,16.593,21.197,48,53,53,200,0,0.81324,0,3.00307,6429636844
59.581,16.7839,21.197,48,53,53,200,0,0.81324,0,3.00307,6446421217
58.1377,17.2005,21.197,48,53,53,200,0,0.81324,0,3.00307,6463622181
60.9017,16.4199,21.197,48,53,53,200,0,0.81324,0,3.00307,6480042942
59.7564,16.7346,21.197,48,53,53,200,0,0.81324,0,3.00307,6496778204
60.3269,16.5764,21.197,48,53,53,200,0,0.81324,0,3.00307,6513355446
59.6687,16.7592,21.197,48,53,53,200,0,0.81324,0,3.00307,6530114978
60.3285,16.5759,21.197,48,53,53,200,0,0.81324,0,3.00307,6546697390
57.9129,17.2673,9.57179,50,53,53,200,0,0.807381,0,2.99718,6563959375
61.7259,16.2006,9.57179,50,53,53,200,0,0.807381,0,2.99718,6580160685
59.3692,16.8438,9.57179,50,53,53,200,0,0.807381,0,2.99718,6597004987
60.1082,16.6367,9.57179,50,53,53,200,0,0.807381,0,2.99718,6613642499
59.6954,16.7517,9.57179,50,53,53,200,0,0.807381,0,2.99718,6630394522
59.0773,16.927,9.57179,50,53,53,200,0,0.807381,0,2.99718,6647322285
58.9657,16.959,9.57179,50,53,53,200,0,0.807381,0,2.99718,6664281818
61.5201,16.2548,9.57179,50,53,53,200,0,0.807381,0,2.99718,6680537248
59.1864,16.8958,9.57179,50,53,53,200,0,0.807381,0,2.99718,6697433641
59.7226,16.7441,9.57179,50,53,53,200,0,0.807381,0,2.99718,6714178804
59.0863,16.9244,9.57179,50,53,53,200,0,0.807381,0,2.99718,6731103727
59.8145,16.7184,9.57179,50,53,53,200,0,0.807381,0,2.99718,6747822589
59.6814,16.7557,9.57179,50,53,53,200,0,0.807381,0,2.99718,6764578962
59.2906,16.8661,9.57179,50,53,53,200,0,0.807381,0,2.99718,6781446514
56.742,17.6236,9.57179,50,53,53,200,0,0.807381,0,2.99718,6799071011
65.6607,15.2298,9.57179,50,53,53,200,0,0.807381,0,2.99718,6814300526
58.8833,16.9827,9.57179,50,53,53,200,0,0.807381,0,2.99718,6831284720
60.5084,16.5266,9.57179,50,53,53,200,0,0.807381,0,2.99718,6847811541
57.6082,17.3586,9.57179,50,53,53,200,0,0.807381,0,2.99718,6865170716
62.2004,16.0771,9.57179,50,53,53,200,0,0.807381,0,2.99718,6881247846
58.6429,17.0524,9.57179,50,53,53,200,0,0.807381,0,2.99718,6898300579
60.1209,16.6331,9.57179,50,53,53,200,0,0.807381,0,2.99718,6914934751
59.6812,16.7557,9.57179,50,53,53,200,0,0.807381,0,2.99718,6931691234
60.5416,16.5176,9.57179,50,53,53,200,0,0.807381,0,2.99718,6948209285
58.2093,17.1794,9.57179,50,53,53,200,0,0.807381,0,2.99718,6965389389
59.7585,16.734,9.57179,50,53,53,200,0,0.807381,0,2.99718,6982124302
60.3717,16.5641,9.57179,50,53,53,200,0,0.807381,0,2.99718,6998688533
60.516,16.5245,9.57179,50,53,53,200,0,0.807381,0,2.99718,7015214355
59.522,16.8005,9.57179,50,53,53,200,0,0.807381,0,2.99718,7032015207
60.0869,16.6426,9.57179,50,53,53,200,0,0.807381,0,2.99718,7048661889
57.27,17.4612,10.0756,47,52,52,200,0,0.807381,0,2.9971,7066119915
61.1238,16.3603,10.0756,47,52,52,200,0,0.807381,0,2.9971,7082480845
60.2731,16.5912,10.0756,47,52,52,200,0,0.807381,0,2.9971,7099072977
60.2101,16.6085,10.0756,47,52,52,200,0,0.807381,0,2.9971,7115682049
59.2365,16.8815,10.0756,47,52,52,200,0,0.807381,0,2.9971,7132564222
59.0028,16.9484,10.0756,47,52,52,200,0,0.807381,0,2.9971,7149512955
57.7409,17.3188,10.0756,47,52,52,200,0,0.807381,0,2.9971,7166832620
63.6818,15.7031,10.0756,47,52,52,200,0,0.807381,0,2.9971,7182536248
59.2265,16.8843,10.0756,47,52,52,200,0,0.807381,0,2.9971,7199421341
59.1794,16.8978,10.0756,47,52,52,200,0,0.807381,0,2.9971,7216319514
59.7673,16.7316,10.0756,47,52,52,200,0,0.807381,0,2.9971,7233051526
58.8858,16.982,10.0756,47,52,52,200,0,0.807381,0,2.9971,7250034459
61.9964,16.13,10.0756,47,52,52,200,0,0.807381,0,2.9971,7266164739
59.3544,16.8479,10.0756,47,52,52,200,0,0.807381,0,2.9971,7283012922
58.4177,17.1181,10.0756,47,52,52,200,0,0.807381,0,2.9971,7300132546
59.254,16.8765,10.0756,47,52,52,200,0,0.807381,0,2.9971,7317009459
60.1602,16.6223,10.0756,47,52,52,200,0,0.807381,0,2.9971,7333632211
61.3991,16.2869,10.0756,47,52,52,200,0,0.807381,0,2.9971,7349919801
56.9746,17.5517,10.0756,47,52,52,200,0,0.807381,0,2.9971,7367471447
59.0161,16.9445,10.0756,47,52,52,200,0,0.807381,0,2.9971,7384417010
61.6627,16.2173,10.0756,47,52,52,200,0,0.807381,0,2.9971,7400634860
59.5601,16.7898,10.0756,47,52,52,200,0,0.807381,0,2.9971,7417425673
60.5655,16.5111,10.0756,47,52,52,200,0,0.807381,0,2.9971,7433936774
59.109,16.9179,10.0756,47,52,52,200,0,0.807381,0,2.9971,7450855317
58.6447,17.0519,10.0756,47,52,52,200,0,0.807381,0,2.9971,7467907831
58.559,17.0768,10.0756,47,52,52,200,0,0.807381,0,2.9971,7484984985
61.7311,16.1993,10.0756,47,52,52,200,0,0.807381,0,2.9971,7501185565
58.9472,16.9643,10.0756,47,52,52,200,0,0.807381,0,2.9971,7518150388
60.9098,16.4177,10.0756,47,52,52,200,0,0.807381,0,2.9971,7534568229
60.127,16.6315,10.0756,47,52,52,200,0,0.807381,0,2.9971,7551207171
59.4587,16.8184,11.0553,40,51,51,200,0,0.807381,0,2.9971,7568019403
60.518,16.524,11.0553,40,51,51,200,0,0.807381,0,2.9971,7584544125
