elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input
1.282,Windows,4.9,41.0,33.41796875,5090.43359375,1225.41015625,0.0001516342163085,0.0
2.302,Windows,85.8,70.5,69.5078125,5209.42578125,1225.078125,0.0180473327636718,54.53428268432617
3.313,Windows,78.8,83.6,81.64453125,5270.8046875,1220.578125,0.0008144378662109,0.0371150970458984
4.315,Windows,98.2,73.1,109.2734375,5321.82421875,1220.578125,0.0007057189941406,2.138111114501953
5.317,Windows,99.9,44.2,215.6640625,5440.94140625,1194.01953125,0.0010852813720703,10.131089210510254
6.318,Windows,78.0,34.4,573.546875,5691.80859375,1281.44140625,0.0,367.4256286621094
7.319,Windows,85.8,31.5,723.71875,5674.45703125,1281.76171875,0.0,217.66468715667725
8.32,Windows,96.8,43.1,735.43359375,5664.1171875,1285.4921875,0.0,6.512062072753906
9.322,Windows,95.2,25.0,834.84375,5669.2265625,1285.24609375,0.0,32.44083118438721
10.323,Windows,98.3,53.2,878.6015625,5454.828125,1288.98828125,0.0,18.47021484375
11.325,Windows,73.3,45.4,943.75390625,5425.9453125,1288.890625,0.0027837753295898,211.83381366729736
12.327,Windows,112.3,33.7,964.265625,5350.30859375,1414.7265615463257,0.0005407333374023,4.026437759399414
13.328,Windows,109.2,35.9,1003.88671875,5305.13671875,1414.6484375,0.0,3.0595703125
14.33,Windows,99.9,41.3,1082.55078125,5249.9296875,1414.5234375,0.0,2.59765625
15.331,Windows,96.8,35.3,1127.91796875,5132.69140625,1414.3984375,9.059906005859376e-05,53.47615909576416
16.332,Windows,142.0,25.2,1151.33203125,5172.76953125,1416.70703125,0.0024137496948242,30.97121238708496
17.334,Windows,190.4,51.6,1176.45703125,5240.8046875,1416.70703125,0.0081033706665039,12.606388092041016
18.335,Windows,181.1,39.0,1176.41796875,5009.37109375,1644.84765625,0.0123844146728515,10.748620986938477
19.336,Windows,196.7,38.1,1176.73046875,5026.22265625,1644.84765625,0.013747215270996,8.578801155090332
20.337,Windows,204.4,49.8,1201.96484375,5126.5859375,1644.84765625,0.0127229690551757,9.101269721984863
21.339,Windows,212.2,36.9,1201.99609375,5108.5234375,1630.34765625,0.0135097503662109,0.2591819763183594
22.341,Windows,210.5,37.2,1216.73046875,5120.37109375,1609.140625,0.0139312744140625,5.036172866821289
23.342,Windows,154.5,27.7,1216.6171875,5140.1953125,1609.140625,0.0134925842285156,0.4285469055175781
24.343,Windows,112.4,19.2,1216.6484375,5148.890625,1609.015625,0.0134468078613281,0.0208320617675781
25.344,Windows,112.4,22.4,1236.3359375,5161.59375,1609.015625,0.0064249038696289,0.1030158996582031
26.345,Windows,115.5,20.3,1236.53125,5180.796875,1609.015625,0.0134468078613281,0.0208320617675781
27.346,Windows,104.6,21.7,1236.62890625,5166.56640625,1609.015625,0.0141553878784179,0.0365095138549804
28.347,Windows,73.3,13.0,1232.6875,5161.0703125,1609.015625,0.0134468078613281,0.0364570617675781
29.348,Windows,65.5,49.5,1232.83203125,5228.07421875,1609.015625,0.0393629074096679,2.6914119720458984
30.35,Windows,90.5,33.6,1232.84375,5197.65625,1609.015625,0.0134468078613281,0.0364570617675781
31.351,Windows,103.0,75.8,1232.84765625,5374.79296875,1586.6171875,0.0134849548339843,0.0208845138549804
