elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.0,Linux,0.0,0.0,43.41796875,2608.0625,0.5859375,0.0,0.0,NaN,NaN
1.002,Linux,79.9,32.7,183.30859375,2695.6640625,0.5859375,0.01171875,14.63671875,NaN,NaN
2.003,Linux,88.9,32.6,410.2578125,2870.49609375,0.5859375,0.015625,136.46875,NaN,NaN
3.005,Linux,76.9,33.4,764.25,3128.79296875,0.71484375,0.0,328.171875,NaN,NaN
4.006,Linux,95.8,21.5,842.17578125,3197.59375,24.58203125,0.0,148.7109375,NaN,NaN
5.008,Linux,97.8,25.3,881.93359375,3234.53125,61.453125,0.0,37.203125,NaN,NaN
6.009,Linux,67.9,31.2,909.85546875,3112.51171875,230.2890625,0.015625,209.73828125,0.669894,1492.77
7.011,Linux,110.9,31.8,948.05859375,3126.62890625,370.73046875,0.0,3.0625,1.20653,828.824
8.012,Linux,88.9,22.9,993.35546875,3098.25,458.5078125,0.00390625,59.76171875,61.4975,16.2608
9.014,Linux,106.8,39.9,1010.64453125,3209.59765625,475.70703125,0.01171875,24.1875,64.8043,15.4311
10.016,Linux,51.9,35.5,1010.82421875,3246.18359375,472.59375,0.0078125,13.1015625,59.1324,16.9112
11.017,Linux,44.9,16.3,1016.92578125,3258.453125,471.7265625,0.00390625,0.37890625,136.924,7.30334
12.018,Linux,50.9,13.1,1029.94921875,3267.4609375,471.1953125,0.00390625,0.234375,58.6508,17.0501
13.019,Linux,51.9,14.6,1030.1171875,3267.375,471.17578125,0.0078125,8.62890625,59.89,16.6973
14.021,Linux,46.9,13.1,1030.14453125,3239.34375,471.1171875,0.00390625,0.03125,58.701,17.0355
15.022,Linux,46.9,14.3,1030.34765625,3270.140625,471.08984375,0.00390625,0.62890625,59.8133,16.7187
16.024,Linux,45.9,16.4,1030.21484375,3273.7578125,471.03515625,0.00390625,0.0,57.82,17.2951
17.026,Linux,44.9,11.9,1030.21484375,3273.734375,470.98046875,0.0078125,0.00048828125,61.0331,16.3846
18.027,Linux,44.0,11.1,1030.23828125,3271.50390625,470.98046875,0.00390625,0.1171875,59.7583,16.7341
19.029,Linux,43.9,12.9,1030.2421875,3267.7734375,470.98046875,0.00390625,0.0,60.3271,16.5763
20.031,Linux,43.9,12.7,1030.2421875,3266.2265625,470.97265625,0.00390625,0.0,65.0092,15.3824
21.032,Linux,44.9,12.4,1030.2421875,3265.2109375,470.97265625,0.00390625,0.0,59.7702,16.7308
22.034,Linux,41.9,11.1,1030.24609375,3238.8828125,470.97265625,0.00390625,0.0,59.4834,16.8114
23.035,Linux,45.0,11.1,1030.24609375,3237.25,470.80859375,0.00390625,0.0,62.7552,15.9349
24.036,Linux,45.0,12.1,1030.25,3236.31640625,470.8046875,0.00390625,0.0,59.8145,16.7184
25.038,Linux,41.9,12.8,1030.25390625,3259.66015625,470.8046875,0.00390625,0.0,58.7963,17.0079
26.039,Linux,54.9,13.3,1030.2578125,3259.5859375,470.78515625,0.0078125,2.66796875,61.8451,16.1694
27.041,Linux,39.9,10.8,1030.2578125,3259.578125,470.78515625,0.00390625,0.0,60.3275,16.5762
28.042,Linux,39.9,10.1,1030.265625,3250.88671875,470.78515625,0.00390625,0.0,1.31751,759.01
29.044,Linux,66.9,13.5,1030.265625,3247.5859375,470.13671875,0.0078125,0.02734375,59.041,16.9374
30.045,Linux,66.9,13.3,1030.28515625,3247.1953125,470.09375,0.00390625,0.140625,56.0895,17.8286
31.047,Linux,43.9,11.5,1030.2890625,3245.2421875,470.07421875,0.00390625,0.0,58.436,17.1127
32.048,Linux,46.0,11.6,1030.30078125,3239.83203125,470.06640625,0.0078125,0.06640625,59.3957,16.8362
33.049,Linux,56.9,28.0,1031.53515625,3361.859375,469.94921875,0.07421875,2.6796875,58.3129,17.1489
34.051,Linux,42.9,39.8,1031.5390625,3550.5390625,469.9296875,0.01171875,0.03125,58.4086,17.1208
35.054,Linux,42.9,38.6,1031.5390625,3561.80078125,469.91796875,0.00390625,0.0625,64.2294,15.5692
36.061,Linux,40.7,36.4,1031.52734375,3765.99609375,469.91796875,0.00390625,0.109375,68.7158,14.5527
37.064,Linux,51.8,40.8,1031.5234375,3831.05078125,469.71875,0.00390625,0.0,55.4417,18.037
38.065,Linux,50.0,39.2,1031.52734375,3834.74609375,469.37109375,0.00390625,0.1171875,60.5616,16.5121
39.066,Linux,44.9,31.9,1031.52734375,3843.53515625,469.33984375,0.00390625,0.0,59.9882,16.6699
40.068,Linux,41.9,29.2,1031.53125,3838.06640625,469.33984375,0.00390625,0.0,60.2905,16.5864
41.069,Linux,48.9,37.5,1031.53125,3853.3203125,469.3359375,0.00390625,0.03125,61.4687,16.2684
42.071,Linux,46.9,38.3,1024.59765625,3868.1171875,481.953125,0.0078125,0.06298828125,66.5488,15.0266
43.072,Linux,50.9,38.7,1002.50390625,3921.34375,484.83203125,0.0078125,0.0546875,61.5659,16.2428
44.074,Linux,45.9,37.8,991.2578125,3945.52734375,498.59765625,0.00390625,0.0,66.121,15.1238
45.076,Linux,48.9,40.3,989.8046875,4011.87109375,525.875,0.00390625,0.4453125,61.1069,16.3648
46.08,Linux,51.8,51.8,989.80859375,4081.6484375,536.9453125,0.00390625,0.03125,55.5759,17.9934
47.081,Linux,51.9,48.5,989.8125,4146.48828125,551.57421875,0.00390625,0.01171875,57.9568,17.2542
