elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
352.55,Linux,82.9,20.2,930.26171875,3723.77734375,2982.71484375,0.00390625,0.09375,58.4036,17.1222
353.551,Linux,78.9,18.0,930.26171875,3723.76953125,2983.23046875,0.00390625,0.0,57.6891,17.3343
354.553,Linux,77.9,18.4,930.265625,3723.76953125,2983.2265625,0.00390625,0.0,59.3933,16.8369
355.554,Linux,79.9,18.8,930.26953125,3723.7578125,2983.22265625,0.00390625,0.0,60.1165,16.6344
356.556,Linux,78.9,18.2,930.26953125,3723.75390625,2983.22265625,0.01171875,0.0,67.6634,14.779
357.558,Linux,76.9,18.4,930.26953125,3724.21484375,2983.22265625,0.00390625,0.0,60.0012,16.6663
358.559,Linux,75.9,18.3,930.2734375,3724.20703125,2983.21875,0.00390625,0.0625,63.4879,15.751
359.561,Linux,75.9,18.2,930.2734375,3724.203125,2983.21875,0.00390625,0.0,55.9543,17.8717
360.563,Linux,75.8,18.3,930.2734375,3724.1953125,2983.21875,0.00390625,0.0,68.9731,14.4984
361.564,Linux,74.9,19.0,930.2734375,3724.19140625,2983.21875,0.0078125,0.0,61.3032,16.3124
362.566,Linux,79.9,19.1,930.28125,3724.18359375,2983.2109375,0.00390625,0.0,60.2878,16.5871
363.568,Linux,72.9,17.8,930.28125,3724.16796875,2983.2109375,0.00390625,0.0,55.1504,18.1322
364.57,Linux,69.9,17.3,930.28125,3724.1640625,2983.2109375,0.00390625,0.0,58.4168,17.1184
365.571,Linux,79.9,18.9,930.28125,3724.16015625,2983.2109375,0.00390625,0.0,57.6568,17.344
366.572,Linux,74.9,17.8,930.28125,3724.15625,2983.2109375,0.0078125,0.0,56.6777,17.6436
367.573,Linux,73.9,18.5,930.28515625,3724.1484375,2983.203125,0.00390625,0.125,57.7783,17.3075
368.575,Linux,73.9,18.3,930.2890625,3724.140625,2983.19921875,0.00390625,0.0,56.8768,17.5819
369.577,Linux,75.9,18.8,930.2890625,3724.13671875,2983.19921875,0.00390625,0.0,58.6133,17.061
370.578,Linux,80.8,19.0,930.2890625,3724.1328125,2983.1953125,0.00390625,0.0,59.0228,16.9426
371.58,Linux,75.8,19.4,930.29296875,3724.125,2983.19140625,0.00390625,0.0,58.8186,17.0014
372.582,Linux,79.9,19.5,930.29296875,3724.33984375,2984.00390625,0.00390625,0.0,57.3059,17.4502
373.584,Linux,82.8,20.1,930.29296875,3724.72265625,2984.00390625,0.0078125,0.125,62.2087,16.0749
374.586,Linux,85.8,21.6,930.296875,3724.81640625,2984.0,0.00390625,0.0,66.7374,14.9841
375.589,Linux,84.8,20.2,930.30078125,3725.19921875,2983.9921875,0.00390625,0.0,82.3766,12.1394
376.591,Linux,81.8,18.7,930.30078125,3725.28515625,2983.9921875,0.00390625,0.0,51.1909,19.5347
377.592,Linux,88.8,22.2,930.30078125,3725.27734375,2983.9921875,0.00390625,0.0,54.8235,18.2404
378.594,Linux,90.9,23.0,930.30078125,3725.27734375,2983.9921875,0.00390625,0.0,73.8767,13.5361
379.596,Linux,88.9,23.5,930.3046875,3725.26171875,2983.98828125,0.00390625,0.0,60.9086,16.4181
380.597,Linux,83.9,21.0,930.30859375,3725.25390625,2983.98046875,0.00390625,0.0,65.3637,15.299
381.6,Linux,85.8,22.2,930.30859375,3725.25,2983.98046875,0.00390625,0.0,53.5612,18.6702
382.601,Linux,87.9,22.0,930.30859375,3725.2421875,2983.9765625,0.00390625,0.0,51.8775,19.2762
383.603,Linux,86.8,21.8,930.3125,3725.2421875,2983.97265625,0.00390625,0.0,71.4495,13.9959
384.605,Linux,82.8,22.4,930.3125,3725.4375,2983.97265625,0.00390625,0.0,62.7394,15.9389
385.608,Linux,84.8,22.5,930.3125,3725.5546875,2983.97265625,0.00390625,0.09375,57.2802,17.458
386.609,Linux,90.8,22.5,930.31640625,3725.5859375,2984.1875,0.00390625,0.0,54.781,18.2545
387.611,Linux,82.9,21.4,930.3203125,3725.81640625,2984.18359375,0.01171875,0.0,47.0259,21.2649
388.612,Linux,80.9,21.6,930.3203125,3725.81640625,2984.18359375,0.00390625,0.0,62.255,16.063
389.614,Linux,86.9,23.2,930.3203125,3726.00390625,2984.18359375,0.00390625,0.0,50.0289,19.9885
390.616,Linux,96.9,23.0,930.3203125,3730.03125,2984.18359375,0.00390625,0.0,45.537,21.9602
391.618,Linux,85.8,21.7,930.3203125,3730.02734375,2984.17578125,0.0078125,0.0,56.913,17.5707
392.62,Linux,88.8,22.2,930.328125,3730.26171875,2984.16796875,0.00390625,0.0,47.5064,21.0498
393.621,Linux,82.9,22.3,930.328125,3732.33984375,2987.84765625,0.00390625,0.0,53.2556,18.7774
394.623,Linux,83.9,22.9,930.328125,3732.3359375,2987.8359375,0.00390625,0.0,51.7756,19.3141
395.624,Linux,79.9,22.5,930.328125,3732.3359375,2987.8359375,0.00390625,0.0,51.5842,19.3858
396.626,Linux,83.8,23.0,930.33203125,3730.32421875,2987.73828125,0.00390625,0.0,78.9337,12.6689
397.628,Linux,85.8,24.1,930.33203125,3729.9609375,2987.734375,0.00390625,0.0,55.7194,17.9471
398.629,Linux,80.9,21.8,930.3359375,3729.94921875,2987.73046875,0.00390625,0.0,64.5707,15.4869
