elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.0,Linux,0.0,0.0,117.4375,1602.359375,1855.55859375,0.0,0.0,NaN,NaN
1.001,Linux,79.9,20.9,238.83984375,1703.97265625,1855.53515625,0.03125,3.74609375,NaN,NaN
2.003,Linux,70.9,10.8,659.97265625,2132.265625,1855.53515625,0.0,372.49609375,NaN,NaN
3.004,Linux,87.9,12.5,840.61328125,2295.10546875,1855.53515625,0.0,231.20703125,NaN,NaN
4.006,Linux,97.9,13.9,881.32421875,2325.44921875,1855.53515625,0.0,63.14453125,NaN,NaN
5.007,Linux,87.9,17.7,918.28515625,2355.7578125,1855.53515625,0.015625,169.859375,0.786506,1271.45
6.008,Linux,105.9,17.2,1032.828125,2478.16796875,1855.53515625,0.0078125,0.0,56.7296,17.6275
7.008,Linux,108.9,19.2,1052.5625,2495.66796875,1855.53515625,0.01953125,2.93359375,59.3809,16.8404
8.009,Linux,38.0,9.7,1058.71484375,2484.93359375,1855.53515625,0.00390625,0.0,54.441,18.3685
9.011,Linux,38.9,10.2,1058.71484375,2483.25390625,1855.53515625,0.00390625,0.078125,60.6187,16.4966
10.012,Linux,33.0,10.0,1058.71484375,2483.72265625,1855.4765625,0.01953125,0.00390625,73.9606,13.5207
11.014,Linux,54.9,13.1,1071.65234375,2504.796875,1855.4765625,0.00390625,0.26171875,59.0957,16.9217
12.016,Linux,48.9,12.1,1071.67578125,2501.2734375,1855.4765625,0.0078125,0.03515625,1.32262,756.074
13.017,Linux,84.9,14.1,1071.67578125,2499.66796875,1855.359375,0.0078125,0.01953125,59.3674,16.8443
14.018,Linux,47.9,11.7,1071.69140625,2499.9609375,1855.359375,0.00390625,0.01953125,59.575,16.7856
15.02,Linux,48.9,12.3,1071.6953125,2498.46484375,1855.359375,0.0078125,0.0,5.92328,168.825
16.022,Linux,59.9,16.4,1073.0546875,2500.31640625,1855.359375,0.0703125,2.76171875,65.7588,15.2071
17.023,Linux,43.9,41.0,1073.0546875,2733.0078125,1855.35546875,0.00390625,0.09375,54.5813,18.3213
18.025,Linux,42.9,40.2,1073.0546875,2805.85546875,1855.35546875,0.00390625,0.0,60.1663,16.6206
19.027,Linux,42.9,38.2,1073.0546875,2986.40625,1855.35546875,0.00390625,0.0,59.5886,16.7817
20.032,Linux,49.8,44.2,1073.0546875,3088.52734375,1855.35546875,0.00390625,0.01171875,102.901,9.71809
21.033,Linux,55.9,53.9,1073.0546875,3067.22265625,1844.4453125,0.00390625,0.0,59.7885,16.7256
22.034,Linux,43.9,38.5,1073.0546875,3075.5625,1844.44140625,0.00390625,0.0,59.4367,16.8246
23.036,Linux,38.9,35.8,1073.0546875,3074.74609375,1844.44140625,0.00390625,0.0,60.6929,16.4764
24.038,Linux,49.9,37.9,1073.0546875,3091.12109375,1844.44140625,0.00390625,0.0,60.4514,16.5422
25.04,Linux,50.9,36.1,1073.0546875,3122.42578125,1862.18359375,0.00390625,0.0,61.4404,16.2759
26.042,Linux,48.9,37.1,998.796875,3084.5859375,1954.8671875,0.00390625,0.15625,63.8723,15.6562
27.043,Linux,45.9,37.3,894.76171875,3026.66015625,2064.90234375,0.00390625,2.5234375,57.4822,17.3967
28.044,Linux,49.9,37.7,759.28515625,2980.2890625,2200.20703125,0.00390625,0.80078125,63.5324,15.74
29.046,Linux,46.9,38.5,676.421875,2959.1796875,2283.0546875,0.00390625,5.0546875,73.9,13.5318
30.047,Linux,50.9,39.2,576.75,2933.453125,2382.70703125,0.00390625,3.4453125,64.4563,15.5144
31.048,Linux,51.9,39.9,476.890625,2908.86328125,2482.55859375,0.00390625,1.91015625,52.2511,19.1383
32.05,Linux,50.9,39.4,384.828125,2887.6328125,2574.64453125,0.00390625,0.19140625,60.2322,16.6024
33.052,Linux,52.9,40.6,336.65234375,2871.69140625,2641.890625,0.00390625,0.0,57.0445,17.5302
34.054,Linux,46.9,39.3,284.22265625,2848.203125,2718.55859375,0.00390625,0.22265625,63.0415,15.8626
35.056,Linux,54.9,39.5,282.15234375,2818.54296875,2780.05078125,0.00390625,0.13671875,57.61,17.3581
36.058,Linux,51.9,39.7,282.42578125,2798.65625,2836.578125,0.0078125,0.0,60.203,16.6105
37.06,Linux,50.9,39.3,283.22265625,2774.95703125,2907.55078125,0.00390625,0.0859375,57.4206,17.4153
38.062,Linux,50.9,39.1,283.55078125,2752.41796875,2955.34375,0.00390625,0.0,53.8709,18.5629
39.063,Linux,45.9,34.5,283.5546875,2734.59765625,2991.390625,0.00390625,0.01171875,60.3526,16.5693
40.065,Linux,50.9,38.2,283.578125,2784.93359375,3117.9609375,0.0078125,0.015625,61.8789,16.1606
