elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.0,Linux,0.0,100.0,97.37109375,1672.5546875,2088.55859375,0.0,0.375,NaN,NaN
1.001,Linux,83.9,23.9,208.95703125,1763.64453125,2087.88671875,0.01171875,46.9453125,NaN,NaN
2.002,Linux,79.9,11.9,557.58203125,2108.55859375,2087.88671875,0.015625,283.3203125,NaN,NaN
3.003,Linux,81.9,11.7,833.6953125,2397.83203125,2087.88671875,0.0,303.3828125,NaN,NaN
4.004,Linux,101.9,15.0,878.42578125,2374.6953125,2087.88671875,0.0,37.328125,NaN,NaN
5.005,Linux,83.9,13.9,913.50390625,2352.765625,2087.8828125,0.015625,210.37109375,0.788707,1267.9
6.006,Linux,104.9,19.6,1011.27734375,2459.78515625,2087.87109375,0.0,0.0,58.7386,17.0246
7.008,Linux,118.8,19.0,1048.796875,2499.50390625,2087.87109375,0.015625,2.95703125,64.31,15.5497
8.01,Linux,34.9,9.4,1051.87890625,2496.0625,2087.87109375,0.0078125,0.0,59.1741,16.8993
9.011,Linux,40.9,11.1,1057.9765625,2497.44921875,2087.87109375,0.00390625,0.0,59.087,16.9242
10.013,Linux,53.9,13.2,1070.92578125,2508.09765625,2087.87109375,0.00390625,0.0,61.6801,16.2127
11.014,Linux,47.9,12.2,1070.92578125,2508.2578125,2087.87109375,0.01171875,0.0390625,61.2895,16.316
12.016,Linux,39.9,10.5,1070.92578125,2508.25390625,2087.87109375,0.00390625,0.0,60.5901,16.5044
13.018,Linux,86.9,14.1,1070.94140625,2512.54296875,2087.8671875,0.00390625,0.16015625,58.2835,17.1575
14.019,Linux,44.9,10.7,1070.94140625,2512.53125,2087.8671875,0.00390625,0.0,61.3074,16.3112
15.021,Linux,44.9,11.2,1070.94140625,2512.17578125,2087.8671875,0.00390625,0.0,63.4717,15.755
16.023,Linux,45.9,11.9,1070.94140625,2510.375,2087.8671875,0.00390625,0.12109375,59.5642,16.7886
17.025,Linux,46.9,12.0,1070.94140625,2507.81640625,2087.8671875,0.00390625,0.0,60.854,16.4328
18.027,Linux,44.9,11.7,1070.9453125,2506.33984375,2087.86328125,0.0078125,0.0,56.303,17.761
19.028,Linux,52.9,25.6,1072.24609375,2636.21875,2087.86328125,0.0703125,2.79296875,59.5472,16.7934
20.029,Linux,42.0,40.8,1072.24609375,2832.546875,2087.83984375,0.00390625,0.0,61.2993,16.3134
21.03,Linux,41.0,37.9,1072.24609375,2844.0859375,2087.82421875,0.00390625,0.0,56.7725,17.6142
22.032,Linux,39.9,35.5,1072.24609375,3056.21484375,2087.82421875,0.00390625,0.0,64.759,15.4419
23.034,Linux,52.9,47.3,1072.24609375,3124.97265625,2087.3984375,0.00390625,0.0,60.8404,16.4364
24.035,Linux,46.9,49.2,1072.24609375,3099.5078125,2084.640625,0.00390625,0.0,58.988,16.9526
25.037,Linux,45.9,37.2,1072.24609375,3109.6484375,2084.640625,0.00390625,0.0,60.2288,16.6034
26.039,Linux,45.9,37.1,1072.24609375,3122.83203125,2084.63671875,0.00390625,0.0,59.9776,16.6729
27.041,Linux,45.9,37.2,1072.25,3150.59765625,2084.63671875,0.00390625,0.0,57.0475,17.5293
28.042,Linux,48.9,36.9,1072.25,3208.2890625,2084.63671875,0.00390625,0.03125,58.6128,17.0611
29.044,Linux,45.9,37.8,1072.25390625,3247.59375,2084.63671875,0.00390625,0.0625,56.3723,17.7392
30.046,Linux,50.9,39.1,1072.25390625,3346.00390625,2084.546875,0.00390625,0.09375,56.0122,17.8533
31.048,Linux,50.9,39.3,1072.25390625,3439.3984375,2084.546875,0.00390625,0.0,61.9929,16.1309
32.049,Linux,50.9,39.9,1072.25390625,3530.24609375,2084.54296875,0.00390625,0.00390625,61.8554,16.1667
33.05,Linux,50.9,39.8,1072.25390625,3612.8984375,2084.54296875,0.00390625,0.078125,55.6046,17.9841
34.051,Linux,47.9,38.3,1072.2578125,3680.51953125,2084.54296875,0.00390625,0.03125,64.3588,15.5379
35.053,Linux,52.9,38.4,1072.2578125,3723.5078125,2084.54296875,0.00390625,0.03515625,57.355,17.4353
36.056,Linux,48.9,39.7,1072.2578125,3777.55859375,2084.54296875,0.00390625,0.0625,59.8342,16.7128
37.058,Linux,51.9,39.1,1072.2578125,3838.72265625,2084.54296875,0.00390625,0.0,56.4108,17.7271
38.059,Linux,52.9,38.6,1072.2578125,3870.4375,2084.54296875,0.00390625,0.03125,60.0967,16.6399
39.061,Linux,43.9,34.7,1072.2578125,4051.515625,2097.87109375,0.0078125,0.078125,59.3146,16.8593
40.062,Linux,41.0,36.3,1072.16796875,4117.31640625,2097.87109375,0.0078125,0.1328125,62.2943,16.0528
41.063,Linux,38.9,35.7,1072.16796875,4185.453125,2097.87109375,0.00390625,0.0,64.0803,15.6054
42.065,Linux,36.9,35.5,1072.1640625,4278.375,2103.16796875,0.00390625,0.09375,59.332,16.8543
43.066,Linux,41.9,36.2,1064.796875,4361.4609375,2103.078125,0.00390625,0.03125,56.1585,17.8067
44.068,Linux,40.9,36.3,1064.796875,4452.98828125,2103.078125,0.00390625,0.04296875,66.3204,15.0783
45.069,Linux,40.9,36.5,1063.90234375,4492.68359375,2135.0234375,0.00390625,0.0234375,58.9728,16.957
46.071,Linux,46.9,38.9,1063.90234375,4513.21484375,2157.9140625,0.0078125,0.01171875,59.7242,16.7436
47.072,Linux,46.9,37.7,1017.515625,4541.8359375,2236.4453125,0.015625,0.125,59.0976,16.9212
48.074,Linux,45.9,25.9,938.67578125,4537.1875,2315.37890625,0.00390625,0.0625,60.3773,16.5625
49.075,Linux,42.9,24.9,883.66796875,4532.66015625,2370.2734375,0.01171875,0.0,60.5585,16.513
50.076,Linux,43.9,23.6,883.67578125,4528.20703125,2370.26171875,0.00390625,0.0390625,57.1709,17.4914
51.077,Linux,46.0,15.2,882.6171875,4523.4296875,2372.078125,0.01171875,1.109375,NaN,NaN
52.078,Linux,79.9,17.5,881.77734375,4520.953125,2370.24609375,0.27734375,20.33203125,0.508514,1966.51
53.079,Linux,82.9,14.2,879.8515625,4518.125,2372.171875,0.00390625,18.59375,NaN,NaN
54.08,Linux,97.9,17.0,880.24609375,4513.76953125,2371.76953125,0.0078125,15.796875,0.650329,1537.68
55.081,Linux,95.9,16.9,871.78515625,4503.015625,2385.30078125,0.0,33.00390625,NaN,NaN
56.082,Linux,84.9,14.9,845.55859375,4476.58984375,2411.546875,0.0,102.49609375,NaN,NaN
57.083,Linux,89.9,16.1,826.01953125,4458.140625,2450.41015625,0.0,68.71484375,NaN,NaN
58.084,Linux,92.9,17.1,813.50390625,4437.94921875,2492.4921875,0.0,60.98828125,NaN,NaN
59.086,Linux,95.9,16.9,800.15234375,4428.73828125,2537.375,0.0,53.13671875,NaN,NaN
60.088,Linux,94.8,16.5,782.68359375,4415.78125,2594.30859375,0.0,49.21484375,NaN,NaN
61.089,Linux,93.9,16.7,751.29296875,4387.08203125,2652.01171875,0.0,52.859375,NaN,NaN
62.091,Linux,96.8,17.1,782.83203125,4367.27734375,2726.1171875,0.0,46.5546875,NaN,NaN
63.092,Linux,92.9,16.0,816.515625,4335.953125,2792.7109375,0.0,46.40625,NaN,NaN
64.093,Linux,98.9,17.1,843.58984375,4252.2578125,2868.28515625,0.0,47.9453125,0.101165,9884.86
65.095,Linux,101.9,18.4,874.83984375,4205.109375,2947.71875,0.0,47.5859375,NaN,NaN
66.096,Linux,99.9,17.6,891.92578125,4166.09375,3009.8984375,0.0,45.45703125,NaN,NaN
67.097,Linux,98.8,17.3,914.703125,4131.8984375,3077.0703125,0.0,44.234375,NaN,NaN
68.099,Linux,99.9,17.0,933.79296875,4093.51953125,3142.5390625,0.0,46.9296875,0.250885,3985.89
