os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Ryzen 5 3450U with Radeon Vega Mobile Gfx,Radeon Vega Series / Radeon Vega Mobile Series,5948656,6.17.0-35-generic,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
0.681203,1467.99,19.2071,25,57,57,200,0,0.870209,0,3.28069,5678341698
1.32884,752.535,30.7033,4,58,58,200,0,0.901283,0,3.44458,6430882587
215.986,4.62993,26.2185,4,58,58,200,0,0.932533,0,3.46508,6435506371
59.6481,16.765,26.2185,4,58,58,200,0,0.932533,0,3.46508,6452272987
59.4521,16.8203,26.2185,4,58,58,200,0,0.932533,0,3.46508,6469093533
21.7822,45.9091,26.2185,4,58,58,200,0,0.932533,0,3.46508,6515004326
125.815,7.94815,26.2185,4,58,58,200,0,0.932533,0,3.46508,6522954863
71.5759,13.9712,26.2185,4,58,58,200,0,0.932533,0,3.46508,6536924086
49.4183,20.2354,26.2185,4,58,58,200,0,0.932533,0,3.46508,6557160285
69.9017,14.3058,26.2185,4,58,58,200,0,0.932533,0,3.46508,6571470679
65.6119,15.2411,26.2185,4,58,58,200,0,0.932533,0,3.46508,6586709933
61.1731,16.3471,26.2185,4,58,58,200,0,0.932533,0,3.46508,6603057689
58.9791,16.9552,26.2185,4,58,58,200,0,0.932533,0,3.46508,6620013835
56.4372,17.7188,26.2185,4,58,58,200,0,0.932533,0,3.46508,6637733791
63.4751,15.7542,26.2185,4,58,58,200,0,0.932533,0,3.46508,6653489016
57.1803,17.4885,26.2185,4,58,58,200,0,0.932533,0,3.46508,6670977633
64.8364,15.4234,26.2185,4,58,58,200,0,0.932533,0,3.46508,6686400937
59.6767,16.757,26.2185,4,58,58,200,0,0.932533,0,3.46508,6703158603
59.244,16.8793,26.2185,4,58,58,200,0,0.932533,0,3.46508,6720038539
61.0674,16.3754,26.2185,4,58,58,200,0,0.932533,0,3.46508,6736414374
57.7948,17.3026,26.2185,4,58,58,200,0,0.932533,0,3.46508,6753717301
60.418,16.5514,26.2185,4,58,58,200,0,0.932533,0,3.46508,6770269786
56.9367,17.5633,26.2185,4,58,58,200,0,0.932533,0,3.46508,6787833653
63.745,15.6875,26.2185,4,58,58,200,0,0.932533,0,3.46508,6803521627
59.5352,16.7968,26.2185,4,58,58,200,0,0.932533,0,3.46508,6820318763
57.3079,17.4496,26.2185,4,58,58,200,0,0.932533,0,3.46508,6837769730
61.8817,16.1599,26.2185,4,58,58,200,0,0.932533,0,3.46508,6853929655
59.1013,16.9201,26.2185,4,58,58,200,0,0.932533,0,3.46508,6870851891
59.6614,16.7613,26.2185,4,58,58,200,0,0.932533,0,3.46508,6887612437
59.8676,16.7035,26.2185,4,58,58,200,0,0.932533,0,3.46508,6904316042
58.1522,17.1962,26.2185,4,58,58,200,0,0.932533,0,3.46508,6921512789
61.8444,16.1696,26.2185,4,58,58,200,0,0.932533,0,3.46508,6937688914
58.5938,17.0667,38.0463,46,58,58,200,0,0.969284,0,3.52796,6954750190
48.2161,20.74,38.0463,46,58,58,200,0,0.969284,0,3.52796,6975491079
83.1002,12.0337,38.0463,46,58,58,200,0,0.969284,0,3.52796,6987524951
59.9746,16.6737,38.0463,46,58,58,200,0,0.969284,0,3.52796,7004199476
59.5829,16.7833,38.0463,46,58,58,200,0,0.969284,0,3.52796,7020983442
59.0705,16.9289,38.0463,46,58,58,200,0,0.969284,0,3.52796,7037913228
57.1344,17.5026,38.0463,46,58,58,200,0,0.969284,0,3.52796,7055416275
59.5922,16.7807,38.0463,46,58,58,200,0,0.969284,0,3.52796,7072198490
59.2015,16.8915,38.0463,46,58,58,200,0,0.969284,0,3.52796,7089090986
60.648,16.4886,38.0463,46,58,58,200,0,0.969284,0,3.52796,7105579912
62.1427,16.092,38.0463,46,58,58,200,0,0.969284,0,3.52796,7121672617
60.7432,16.4627,38.0463,46,58,58,200,0,0.969284,0,3.52796,7138135203
57.6101,17.3581,38.0463,46,58,58,200,0,0.969284,0,3.52796,7155493859
59.7102,16.7476,38.0463,46,58,58,200,0,0.969284,0,3.52796,7172242175
58.2782,17.1591,38.0463,46,58,58,200,0,0.969284,0,3.52796,7189402331
63.5662,15.7316,38.0463,46,58,58,200,0,0.969284,0,3.52796,7205133846
56.182,17.7993,38.0463,46,58,58,200,0,0.969284,0,3.52796,7222934342
62.8277,15.9165,38.0463,46,58,58,200,0,0.969284,0,3.52796,7238852507
59.5745,16.7857,38.0463,46,58,58,200,0,0.969284,0,3.52796,7255637533
58.7524,17.0206,38.0463,46,58,58,200,0,0.969284,0,3.52796,7272659589
9.43757,105.959,38.0463,46,58,58,200,0,0.969284,0,3.52796,7378618779
182.244,5.48714,38.0463,46,58,58,200,0,0.969284,0,3.52796,7384110724
62.2631,16.0609,38.0463,46,58,58,200,0,0.969284,0,3.52796,7400170809
61.1441,16.3548,38.0463,46,58,58,200,0,0.969284,0,3.52796,7416530065
58.3141,17.1485,38.0463,46,58,58,200,0,0.969284,0,3.52796,7433677531
58.34,17.1409,38.0463,46,58,58,200,0,0.969284,0,3.52796,7450823997
65.5913,15.2459,39.3939,39,59,59,200,0,0.994835,0,3.53502,7466065981
59.7736,16.7298,39.3939,39,59,59,200,0,0.994835,0,3.53502,7482796067
57.6267,17.3531,39.3939,39,59,59,200,0,0.994835,0,3.53502,7500153674
61.3186,16.3083,39.3939,39,59,59,200,0,0.994835,0,3.53502,7516462939
58.0599,17.2236,39.3939,39,59,59,200,0,0.994835,0,3.53502,7533685625
62.3307,16.0435,39.3939,39,59,59,200,0,0.994835,0,3.53502,7549733290
57.2448,17.4688,39.3939,39,59,59,200,0,0.994835,0,3.53502,7567227627
56.8883,17.5783,39.3939,39,59,59,200,0,0.994835,0,3.53502,7584780293
63.7054,15.6973,39.3939,39,59,59,200,0,0.994835,0,3.53502,7600478038
58.1175,17.2065,39.3939,39,59,59,200,0,0.994835,0,3.53502,7617685004
