os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Ryzen 5 3450U with Radeon Vega Mobile Gfx,Radeon Vega Series / Radeon Vega Mobile Series,5948644,6.17.0-35-generic,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
0.748409,1336.17,15.3866,5,65,65,200,0,0.752979,0,2.79886,5277751877
1.89462,527.809,22.2222,4,72,72,200,0,0.77277,0,2.92201,5805563028
281.617,3.55093,17.9856,14,72,72,200,0,0.804016,0,2.90706,5809111973
60.2689,16.5923,17.9856,14,72,72,200,0,0.804016,0,2.90706,5825703785
50.8731,19.6568,17.9856,14,72,72,200,0,0.804016,0,2.90706,5845360860
27.6736,36.1355,17.9856,14,72,72,200,0,0.804016,0,2.90706,5881497496
179.221,5.57971,17.9856,14,72,72,200,0,0.804016,0,2.90706,5887078360
61.2619,16.3234,17.9856,14,72,72,200,0,0.804016,0,2.90706,5903403651
52.165,19.1699,17.9856,14,72,72,200,0,0.804016,0,2.90706,5922572504
73.48,13.6091,17.9856,14,72,72,200,0,0.804016,0,2.90706,5936182302
57.5372,17.3801,17.9856,14,72,72,200,0,0.804016,0,2.90706,5953562988
59.1862,16.8958,17.9856,14,72,72,200,0,0.804016,0,2.90706,5970459301
55.3995,18.0507,17.9856,14,72,72,200,0,0.804016,0,2.90706,5988511339
64.2788,15.5572,17.9856,14,72,72,200,0,0.804016,0,2.90706,6004068896
60.0494,16.653,17.9856,14,72,72,200,0,0.804016,0,2.90706,6020722338
58.5611,17.0762,17.9856,14,72,72,200,0,0.804016,0,2.90706,6037798912
61.7892,16.1841,17.9856,14,72,72,200,0,0.804016,0,2.90706,6053983991
59.4728,16.8144,17.9856,14,72,72,200,0,0.804016,0,2.90706,6070799054
61.3751,16.2933,17.9856,14,72,72,200,0,0.804016,0,2.90706,6087092765
60.2041,16.6102,17.9856,14,72,72,200,0,0.804016,0,2.90706,6103703636
59.6069,16.7766,17.9856,14,72,72,200,0,0.804016,0,2.90706,6120480499
46.9554,21.2968,17.9856,14,72,72,200,0,0.804016,0,2.90706,6141778571
79.5052,12.5778,17.9856,14,72,72,200,0,0.804016,0,2.90706,6154356755
59.4094,16.8323,17.9856,14,72,72,200,0,0.804016,0,2.90706,6171189928
60.4535,16.5417,17.9856,14,72,72,200,0,0.804016,0,2.90706,6187731919
58.4753,17.1012,17.9856,14,72,72,200,0,0.804016,0,2.90706,6204834133
60.7715,16.4551,17.9856,14,72,72,200,0,0.804016,0,2.90706,6221289354
61.1042,16.3655,17.9856,14,72,72,200,0,0.804016,0,2.90706,6237655345
55.8007,17.9209,17.9856,14,72,72,200,0,0.804016,0,2.90706,6255576613
61.7918,16.1834,17.9856,14,72,72,200,0,0.804016,0,2.90706,6271761573
59.3812,16.8403,17.9856,14,72,72,200,0,0.804016,0,2.90706,6288602115
59.9416,16.6829,17.9856,14,72,72,200,0,0.804016,0,2.90706,6305285657
61.9522,16.1415,17.9856,14,72,72,200,0,0.804016,0,2.90706,6321480367
59.9345,16.6849,23.0769,42,71,71,200,0,0.832348,0,2.90522,6338113149
57.5033,17.3903,23.0769,42,71,71,200,0,0.832348,0,2.90522,6355504014
61.2292,16.3321,23.0769,42,71,71,200,0,0.832348,0,2.90522,6371836755
59.4036,16.834,23.0769,42,71,71,200,0,0.832348,0,2.90522,6388671578
22.6957,44.0612,23.0769,42,71,71,200,0,0.832348,0,2.90522,6432733478
221.294,4.51888,23.0769,42,71,71,200,0,0.832348,0,2.90522,6437252818
57.8321,17.2914,23.0769,42,71,71,200,0,0.832348,0,2.90522,6454545422
58.6883,17.0392,23.0769,42,71,71,200,0,0.832348,0,2.90522,6471584926
66.5108,15.0351,23.0769,42,71,71,200,0,0.832348,0,2.90522,6486620071
57.0771,17.5202,23.0769,42,71,71,200,0,0.832348,0,2.90522,6504140667
61.3207,16.3077,23.0769,42,71,71,200,0,0.832348,0,2.90522,6520449337
58.2595,17.1646,23.0769,42,71,71,200,0,0.832348,0,2.90522,6537614651
61.7004,16.2074,23.0769,42,71,71,200,0,0.832348,0,2.90522,6553822041
59.9435,16.6824,23.0769,42,71,71,200,0,0.832348,0,2.90522,6570505694
56.4502,17.7147,23.0769,42,71,71,200,0,0.832348,0,2.90522,6588221260
61.5872,16.2371,23.0769,42,71,71,200,0,0.832348,0,2.90522,6604458410
59.4456,16.8221,23.0769,42,71,71,200,0,0.832348,0,2.90522,6621281193
60.3995,16.5564,23.0769,42,71,71,200,0,0.832348,0,2.90522,6637838415
58.4363,17.1126,23.0769,42,71,71,200,0,0.832348,0,2.90522,6654951818
