elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input
0.0,Linux,0.0,0.0,43.25390625,1612.51171875,2070.5859375,0.0,0.0
1.002,Linux,84.9,24.5,203.203125,1761.5390625,2070.28125,0.01171875,47.17578125
2.003,Linux,82.9,12.4,556.4375,2088.6328125,2070.28125,0.015625,244.625
3.004,Linux,78.9,11.1,833.50390625,2370.24609375,2070.28125,0.0,339.125
4.005,Linux,100.9,14.3,878.18359375,2378.96484375,2070.28125,0.0,36.9609375
5.006,Linux,106.9,21.0,916.55859375,2415.3125,2070.27734375,0.015625,48.53125
6.008,Linux,103.8,15.1,1031.3828125,2522.9140625,2070.2578125,0.00390625,22.203125
7.009,Linux,106.8,17.8,1057.0,2540.6953125,2070.25390625,0.01171875,15.90625
8.011,Linux,32.0,8.6,1057.09375,2538.8203125,2070.25,0.0078125,3.984375
9.012,Linux,46.9,11.5,1063.1328125,2544.87890625,2070.25,0.00390625,0.37890625
10.014,Linux,46.9,11.5,1076.0859375,2554.1328125,2070.24609375,0.0078125,0.06640625
11.015,Linux,41.9,11.0,1076.0859375,2553.98046875,2070.24609375,0.00390625,0.0
12.017,Linux,44.9,11.7,1076.0859375,2554.421875,2070.24609375,0.00390625,0.0
13.019,Linux,49.9,12.4,1076.0859375,2552.8515625,2070.24609375,0.0078125,0.02734375
14.02,Linux,57.9,12.1,1076.0859375,2549.12890625,2070.2421875,0.0078125,0.01953125
15.022,Linux,69.9,13.6,1076.1015625,2548.03515625,2070.2421875,0.00390625,0.01953125
16.024,Linux,48.9,12.2,1076.1015625,2543.59765625,2070.2421875,0.00390625,0.0
17.026,Linux,47.9,12.1,1076.109375,2541.6015625,2070.2421875,0.0078125,0.0
18.028,Linux,54.8,28.5,1078.48828125,2692.9921875,2070.2421875,0.06640625,0.0
19.03,Linux,44.9,41.6,1078.48828125,2832.02734375,2078.5,0.00390625,0.0
20.031,Linux,44.0,38.2,1078.48828125,2882.60546875,2078.5,0.00390625,0.0
21.033,Linux,42.9,36.4,1078.48828125,3045.5703125,2078.47265625,0.00390625,0.0
22.035,Linux,50.9,45.4,1078.48828125,3111.16015625,2078.4296875,0.00390625,0.0
23.036,Linux,47.9,51.2,1078.48828125,3115.21875,2075.921875,0.00390625,0.0
24.037,Linux,41.9,37.1,1078.48828125,3116.3359375,2075.921875,0.00390625,0.0
25.038,Linux,48.9,38.0,1078.48828125,3122.3203125,2075.921875,0.00390625,0.0
26.04,Linux,52.9,38.2,1078.4921875,3153.71875,2075.921875,0.00390625,0.0
27.042,Linux,51.9,37.3,1078.4921875,3216.82421875,2075.921875,0.00390625,0.0
28.044,Linux,50.9,39.7,1078.4921875,3283.6875,2075.921875,0.00390625,0.0
29.046,Linux,51.9,38.6,1078.4921875,3390.5859375,2075.921875,0.00390625,0.0
30.048,Linux,47.9,37.8,1078.4921875,3467.30078125,2075.921875,0.00390625,0.0
31.049,Linux,53.9,39.8,1078.4921875,3556.15234375,2075.921875,0.00390625,0.0
32.051,Linux,51.9,38.6,1078.4921875,3626.265625,2075.921875,0.00390625,0.0
33.053,Linux,53.9,40.1,1078.4921875,3713.8671875,2075.921875,0.00390625,0.0
34.055,Linux,51.9,39.6,1078.4921875,3741.7265625,2075.921875,0.00390625,0.0
35.057,Linux,48.9,38.5,1078.4921875,3781.48828125,2075.921875,0.00390625,0.0
36.058,Linux,53.9,39.7,1078.4921875,3838.91796875,2075.921875,0.00390625,0.03125
37.062,Linux,54.8,40.7,1078.4921875,3859.96875,2075.921875,0.0078125,0.15625
38.064,Linux,49.9,39.1,1078.4921875,4030.44921875,2075.921875,0.0078125,0.0
39.066,Linux,48.9,37.8,1078.4921875,4107.6953125,2075.921875,0.0078125,0.03125
40.067,Linux,41.0,36.4,1078.4921875,4167.1484375,2075.921875,0.00390625,0.08984375
41.068,Linux,39.0,35.7,1078.4921875,4257.4921875,2075.90625,0.00390625,0.0
42.068,Linux,40.0,36.1,1078.4921875,4347.14453125,2075.90625,0.00390625,0.05859375
43.069,Linux,43.0,37.3,1078.4921875,4412.7265625,2076.2109375,0.00390625,0.0
44.07,Linux,41.0,36.3,1071.4765625,4497.99609375,2076.3046875,0.00390625,0.0
45.072,Linux,44.9,37.5,1066.35546875,4518.48046875,2083.54296875,0.01171875,0.00390625
46.073,Linux,48.9,37.8,1066.35546875,4548.2578125,2146.203125,0.015625,0.0
47.075,Linux,44.9,25.3,1031.890625,4594.18359375,2228.83203125,0.01171875,0.0
48.077,Linux,47.9,26.4,966.265625,4593.41015625,2294.38671875,0.00390625,0.03125
49.079,Linux,47.9,26.0,964.4453125,4593.74609375,2296.20703125,0.00390625,0.0
50.08,Linux,46.9,15.2,964.66796875,4593.73046875,2292.75390625,0.01171875,0.75390625
51.081,Linux,75.9,17.7,963.1875,4593.890625,2291.09765625,0.2734375,14.91015625
52.082,Linux,99.9,17.6,962.1015625,4591.8359375,2292.1953125,0.01171875,17.390625
53.083,Linux,105.9,17.1,960.9921875,4590.63671875,2293.28125,0.00390625,7.27783203125
54.084,Linux,91.9,16.2,930.55859375,4559.2265625,2329.05859375,0.0,101.59765625
55.085,Linux,99.9,17.4,922.40625,4553.296875,2346.1015625,0.0,47.359375
56.086,Linux,96.9,17.5,898.796875,4527.03515625,2400.6796875,0.0,85.359375
57.087,Linux,98.9,16.9,885.23046875,4517.8203125,2436.27734375,0.0,53.953125
58.089,Linux,100.8,17.1,872.21875,4506.21484375,2497.24609375,0.0,52.48828125
59.09,Linux,99.9,17.3,857.62890625,4493.6953125,2541.69921875,0.0,58.08984375
60.091,Linux,100.9,17.1,889.84375,4490.79296875,2600.05859375,0.0,52.58984375
61.092,Linux,99.9,17.4,933.26953125,4477.41015625,2662.59765625,0.0,48.88671875
62.093,Linux,100.8,17.3,960.66796875,4436.35546875,2710.89453125,0.0,51.95703125
63.095,Linux,99.8,17.8,993.109375,4421.375,2762.65234375,0.0,50.3046875
64.096,Linux,98.8,17.0,1012.44921875,4407.9375,2797.6484375,0.0,48.375
65.098,Linux,98.9,17.1,1033.1640625,4399.0,2830.640625,0.0,47.8984375
66.099,Linux,98.8,17.0,1046.61328125,4378.16015625,2868.1640625,0.0,48.83203125
67.101,Linux,99.8,17.2,1022.265625,4355.23828125,2960.421875,0.0,43.6015625
68.103,Linux,101.9,17.6,987.34375,4329.01171875,3050.875,0.0,34.83984375
69.104,Linux,107.8,17.6,986.55859375,4327.62109375,3052.125,0.015625,0.0
70.105,Linux,107.9,17.3,986.3671875,4325.11328125,3052.24609375,0.0,0.0
71.106,Linux,108.9,17.3,986.3671875,4322.43359375,3052.24609375,0.0,0.0
72.107,Linux,106.9,17.1,986.3671875,4320.16796875,3052.22265625,0.0,0.0
73.108,Linux,108.9,18.4,986.28515625,4309.41796875,3064.39453125,0.0,0.375
74.109,Linux,107.9,19.3,947.37890625,4304.07421875,3102.9453125,0.0,0.0
75.111,Linux,107.9,17.1,947.37890625,4302.87890625,3102.9453125,0.0,0.0
76.112,Linux,108.9,17.3,947.37890625,4301.28125,3102.9453125,0.0,0.0
77.113,Linux,106.9,17.3,945.83984375,4295.12109375,3104.53125,0.0,1.4921875
78.115,Linux,106.9,17.5,945.83984375,4266.35546875,3104.49609375,0.0,0.0
79.116,Linux,107.8,17.1,945.83984375,4266.3515625,3104.484375,0.0,0.0
80.118,Linux,107.8,17.2,945.83984375,4266.3515625,3104.484375,0.0,0.0
81.119,Linux,108.9,17.1,945.9140625,4264.92578125,3104.41015625,0.0,2.97265625
82.12,Linux,106.9,17.2,945.9140625,4264.8203125,3104.41015625,0.0,0.0
83.122,Linux,107.9,17.3,945.9140625,4263.24609375,3104.21484375,0.0,0.0
84.123,Linux,107.9,17.2,945.9140625,4262.296875,3104.203125,0.0,0.0
85.124,Linux,106.9,17.2,945.9140625,4260.4921875,3104.203125,0.0,0.0
86.125,Linux,107.9,17.0,945.9140625,4259.65234375,3104.203125,0.0,0.0
87.126,Linux,105.9,19.5,946.09765625,4258.96484375,3104.1015625,0.00390625,0.078125
88.127,Linux,159.7,34.9,933.5234375,4214.015625,3137.85546875,0.01171875,48.37109375
89.129,Linux,98.8,27.2,932.78515625,4219.70703125,3138.6484375,0.00390625,0.56640625
90.131,Linux,90.9,22.8,932.94921875,4219.54296875,3138.49609375,0.00390625,0.23046875
91.133,Linux,89.8,22.8,932.875,4218.34765625,3138.7734375,0.00390625,0.51171875
92.134,Linux,89.9,23.7,932.01953125,4218.39453125,3139.765625,0.0078125,0.28125
93.136,Linux,96.9,25.0,931.1484375,4214.46875,3140.765625,0.00390625,0.859375
94.137,Linux,89.9,24.1,930.18359375,4218.65234375,3141.7109375,0.00390625,0.54296875
95.139,Linux,83.9,24.3,929.7890625,4228.109375,3142.12890625,0.00390625,0.203125
96.141,Linux,101.8,26.8,928.84765625,4217.10546875,3144.0,0.00390625,1.25390625
97.143,Linux,93.8,24.6,928.85546875,4222.14453125,3143.984375,0.00390625,0.015625
98.144,Linux,91.8,23.0,928.39453125,4222.84765625,3144.453125,0.00390625,0.28125
99.146,Linux,90.9,23.1,927.828125,4223.7421875,3145.015625,0.00390625,0.65625
100.147,Linux,98.8,25.9,925.8125,4223.85546875,3147.06640625,0.00390625,1.84765625
101.149,Linux,101.8,25.4,925.91796875,4223.765625,3147.0078125,0.00390625,0.4140625
102.15,Linux,96.9,26.1,925.94921875,4223.8671875,3146.96875,0.00390625,0.078125
103.152,Linux,96.9,25.6,925.4296875,4223.9140625,3147.59765625,0.00390625,0.296875
104.153,Linux,92.8,24.8,924.33203125,4224.09765625,3148.953125,0.00390625,0.38671875
