elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.0020000000000000018,Linux,82.9,19.5,241.625,1953.0234375,1425.58984375,0.03125,11.16796875,NaN,NaN
1.0030000000000001,Linux,71.9,10.5,716.7578125,2422.27734375,1425.5859375,0.0,365.5,NaN,NaN
2.004,Linux,88.9,12.8,831.92578125,2500.98046875,1425.5859375,0.0,228.73046875,NaN,NaN
3.005,Linux,93.9,13.1,872.63671875,2535.65625,1425.5859375,0.0,91.11328125,NaN,NaN
4.005,Linux,90.9,18.3,915.19140625,2611.765625,1425.5859375,0.015625,138.78125,NaN,NaN
5.007,Linux,106.9,15.8,1024.95703125,2721.0859375,1425.5859375,0.00390625,0.01171875,0.76347,1309.81
6.008,Linux,94.9,16.3,1048.7578125,2727.03515625,1425.5859375,0.01171875,2.9453125,59.8563,16.7067
7.01,Linux,30.0,8.9,1048.78515625,2720.76171875,1425.5859375,0.0078125,0.0,61.0456,16.3812
8.011,Linux,42.9,11.3,1054.8984375,2724.99609375,1425.5859375,0.00390625,0.0,61.9142,16.1514
9.013,Linux,48.9,12.6,1067.921875,2738.48828125,1425.58203125,0.0078125,0.0,79.831,12.5265
10.015,Linux,38.9,10.5,1067.921875,2736.953125,1425.58203125,0.00390625,0.0,63.5222,15.7425
11.016,Linux,51.9,12.7,1067.94921875,2739.8046875,1425.58203125,0.0078125,0.01171875,60.1723,16.619
12.018,Linux,40.9,11.8,1067.953125,2738.7578125,1425.58203125,0.00390625,0.12109375,60.3404,16.5726
13.019,Linux,46.9,13.5,1067.953125,2735.2265625,1425.58203125,0.0078125,0.0,59.3325,16.8542
14.021,Linux,47.9,12.8,1067.953125,2729.75,1425.58203125,0.01171875,0.03515625,60.1448,16.6265
15.023,Linux,34.9,9.8,1067.953125,2724.80859375,1425.58203125,0.00390625,0.12109375,53.3563,18.7419
16.025,Linux,60.9,11.8,1067.95703125,2721.32421875,1425.34765625,0.0078125,0.01953125,58.6971,17.0366
17.026,Linux,65.9,12.5,1069.19921875,2718.6015625,1425.34375,0.00390625,0.01953125,56.93,17.5654
18.028,Linux,44.9,11.2,1069.375,2716.9296875,1425.3359375,0.0078125,0.0,58.2467,17.1683
19.029,Linux,51.9,18.2,1072.234375,2793.48828125,1425.328125,0.0703125,2.10546875,58.4843,17.0986
